feature,importance,importance_std
C6H6(GT),0.6685609481612933,0.018808709955001272
PT08.S4(NO2),0.4122449774316248,0.015904490975675485
PT08.S2(NMHC),0.315642224746421,0.013044314813094666
NOx(GT),0.18663065895629882,0.005939665043085938
AH,0.06097028367227766,0.0034090032093462776
PT08.S1(CO),0.05841888634270705,0.004410537970846108
NO2(GT),0.0340913726455859,0.002381709129950559
hour_sin,0.030173000081106915,0.002337705315168677
T,0.02471150273257135,0.0019500236737920401
PT08.S5(O3),0.024512704755452242,0.0038804037612900784
month_sin,0.016544012756866133,0.0008116233050852796
RH,0.005411055886384565,0.0008397628112208156
hour_cos,0.003524225156158902,0.0006357933836410775
dow_cos,0.002433394434368602,0.0005978622895821532
PT08.S3(NOx),0.0018670116340225678,0.0025890576233378922
is_weekend,0.0014420230217385976,0.0002694532614221027
dow_sin,0.001018766064431779,0.00017434432247131552
month_cos,-0.00229227180342099,0.0002500951109005769
